datetime,open,high,low,close,range,body,direction,tickvol,spread
2026-02-05 01:59:00,5010.67,5013.11,5008.03,5012.37,5.08,1.7,BULL,592,4
2026-02-05 02:00:00,5012.37,5014.73,5010.08,5012.85,4.65,0.48,BULL,669,4
2026-02-05 02:01:00,5012.85,5013.19,5009.93,5011.1,3.26,1.75,BEAR,554,4
2026-02-05 02:02:00,5011.11,5011.35,5004.58,5009.74,6.77,1.37,BEAR,692,4
2026-02-05 02:03:00,5009.79,5011.36,5008.1,5010.23,3.26,0.44,BULL,651,4
2026-02-05 02:04:00,5010.23,5017.0,5010.04,5016.55,6.96,6.32,BULL,583,4
2026-02-05 02:05:00,5016.55,5017.23,5016.5,5016.92,0.73,0.37,BULL,255,4
2026-02-05 02:06:00,5016.92,5018.29,5016.59,5017.89,1.7,0.97,BULL,445,4
2026-02-05 02:07:00,5017.89,5018.04,5011.89,5012.37,6.15,5.52,BEAR,383,4
2026-02-05 02:08:00,5012.37,5012.45,5007.28,5007.58,5.17,4.79,BEAR,406,4
2026-02-05 02:09:00,5007.57,5007.57,5001.88,5004.97,5.69,2.6,BEAR,440,4
2026-02-05 02:10:00,5004.97,5005.81,5003.71,5004.18,2.1,0.79,BEAR,476,4
2026-02-05 02:11:00,5004.18,5007.09,5003.45,5005.89,3.64,1.71,BULL,603,4
2026-02-05 02:12:00,5005.86,5015.26,5004.96,5009.55,10.3,3.69,BULL,848,4
2026-02-05 02:13:00,5009.55,5009.92,5005.65,5005.7,4.27,3.85,BEAR,489,4
2026-02-05 02:14:00,5005.69,5010.57,4997.13,4998.43,13.44,7.26,BEAR,706,4
2026-02-05 02:15:00,4998.43,5006.71,4997.64,5005.33,9.07,6.9,BULL,666,4
2026-02-05 02:16:00,5005.33,5009.9,5004.95,5009.68,4.95,4.35,BULL,467,4
2026-02-05 02:17:00,5009.74,5017.31,5009.74,5015.11,7.57,5.37,BULL,483,4
2026-02-05 02:18:00,5015.11,5018.24,5014.92,5015.68,3.32,0.57,BULL,404,4
2026-02-05 02:19:00,5015.68,5017.92,5015.33,5017.36,2.59,1.68,BULL,285,4
2026-02-05 02:20:00,5017.36,5018.43,5014.85,5015.58,3.58,1.78,BEAR,328,4
2026-02-05 02:21:00,5015.44,5017.35,5014.81,5017.2,2.54,1.76,BULL,455,4
2026-02-05 02:22:00,5017.2,5018.19,5014.12,5014.23,4.07,2.97,BEAR,405,4
2026-02-05 02:23:00,5014.23,5014.63,5007.2,5010.79,7.43,3.44,BEAR,509,4
2026-02-05 02:24:00,5010.79,5013.4,5006.52,5011.57,6.88,0.78,BULL,479,4
2026-02-05 02:25:00,5011.6,5016.27,5011.6,5015.71,4.67,4.11,BULL,456,4
2026-02-05 02:26:00,5015.73,5018.05,5013.93,5018.05,4.12,2.32,BULL,468,4
2026-02-05 02:27:00,5018.03,5019.42,5017.35,5017.86,2.07,0.17,BEAR,373,4
2026-02-05 02:28:00,5017.86,5018.77,5016.65,5016.99,2.12,0.87,BEAR,357,4
2026-02-05 02:29:00,5016.99,5017.4,5015.49,5015.72,1.91,1.27,BEAR,240,4
2026-02-05 02:30:00,5015.75,5017.32,5014.66,5015.5,2.66,0.25,BEAR,260,4
2026-02-05 02:31:00,5015.51,5016.11,5014.63,5015.37,1.48,0.14,BEAR,250,4
2026-02-05 02:32:00,5015.37,5016.61,5015.06,5016.48,1.55,1.11,BULL,186,4
2026-02-05 02:33:00,5016.48,5016.77,5015.35,5015.35,1.42,1.13,BEAR,257,4
2026-02-05 02:34:00,5015.36,5016.52,5009.39,5009.62,7.13,5.74,BEAR,363,4
2026-02-05 02:35:00,5009.62,5013.14,5009.3,5011.46,3.84,1.84,BULL,325,4
2026-02-05 02:36:00,5011.46,5011.81,5010.77,5011.16,1.04,0.3,BEAR,187,4
2026-02-05 02:37:00,5011.16,5017.06,5011.16,5016.99,5.9,5.83,BULL,238,4
2026-02-05 02:38:00,5016.98,5017.76,5016.92,5017.58,0.84,0.6,BULL,120,4
2026-02-05 02:39:00,5017.58,5017.74,5015.83,5016.43,1.91,1.15,BEAR,121,4
2026-02-05 02:40:00,5016.43,5016.52,5015.12,5015.46,1.4,0.97,BEAR,117,4
2026-02-05 02:41:00,5015.46,5015.8,5014.33,5015.17,1.47,0.29,BEAR,170,4
2026-02-05 02:42:00,5015.17,5016.62,5014.19,5014.19,2.43,0.98,BEAR,147,4
2026-02-05 02:43:00,5014.19,5017.81,5013.92,5017.41,3.89,3.22,BULL,311,4
2026-02-05 02:44:00,5017.4,5018.4,5017.25,5018.39,1.15,0.99,BULL,164,4
2026-02-05 02:45:00,5018.39,5020.24,5018.38,5020.12,1.86,1.73,BULL,260,4
2026-02-05 02:46:00,5020.12,5020.5,5018.78,5019.22,1.72,0.9,BEAR,142,4
2026-02-05 02:47:00,5019.22,5020.0,5019.1,5019.98,0.9,0.76,BULL,57,4
2026-02-05 02:48:00,5019.98,5020.0,5016.27,5016.27,3.73,3.71,BEAR,268,4
2026-02-05 02:49:00,5016.27,5018.9,5016.12,5017.0,2.78,0.73,BULL,291,4
2026-02-05 02:50:00,5017.0,5017.41,5015.49,5016.6,1.92,0.4,BEAR,202,4
2026-02-05 02:51:00,5016.6,5016.9,5015.55,5015.87,1.35,0.73,BEAR,213,4
2026-02-05 02:52:00,5015.87,5016.3,5011.39,5016.3,4.91,0.43,BULL,433,4
